permission,protection_level
android.permission.ACCEPT_HANDOVER,dangerous
android.permission.ACCESS_BACKGROUND_LOCATION,dangerous
android.permission.ACCESS_COARSE_LOCATION,dangerous
android.permission.ACCESS_FINE_LOCATION,dangerous
android.permission.ACCESS_HIDDEN_PROFILES,normal
android.permission.ACCESS_LOCATION_EXTRA_COMMANDS,normal
android.permission.ACCESS_MEDIA_LOCATION,dangerous
android.permission.ACCESS_NETWORK_STATE,normal
android.permission.ACCESS_NOTIFICATION_POLICY,normal
android.permission.ACCESS_WIFI_STATE,normal
android.permission.ACTIVITY_RECOGNITION,dangerous
android.permission.ANSWER_PHONE_CALLS,dangerous
android.permission.BATTERY_STATS,signature
android.permission.BIND_ACCESSIBILITY_SERVICE,signature
android.permission.BIND_APP_FUNCTION_SERVICE,signature
android.permission.BIND_AUTOFILL_SERVICE,signature
android.permission.BIND_CALL_REDIRECTION_SERVICE,signature
android.permission.BIND_CARRIER_MESSAGING_CLIENT_SERVICE,signature
android.permission.BIND_CARRIER_SERVICES,signature
android.permission.BIND_CHOOSER_TARGET_SERVICE,signature
android.permission.BIND_CONDITION_PROVIDER_SERVICE,signature
android.permission.BIND_CREDENTIAL_PROVIDER_SERVICE,signature
android.permission.BIND_DEVICE_ADMIN,signature
android.permission.BIND_DREAM_SERVICE,signature
android.permission.BIND_INCALL_SERVICE,signature
android.permission.BIND_INPUT_METHOD,signature
android.permission.BIND_MIDI_DEVICE_SERVICE,signature
android.permission.BIND_NFC_SERVICE,signature
android.permission.BIND_NOTIFICATION_LISTENER_SERVICE,signature
android.permission.BIND_PRINT_SERVICE,signature
android.permission.BIND_QUICK_ACCESS_WALLET_SERVICE,signature
android.permission.BIND_REMOTEVIEWS,signature
android.permission.BIND_SCREENING_SERVICE,signature
android.permission.BIND_TELECOM_CONNECTION_SERVICE,signature
android.permission.BIND_TEXT_SERVICE,signature
android.permission.BIND_TV_AD_SERVICE,signature
android.permission.BIND_TV_INPUT,signature
android.permission.BIND_TV_INTERACTIVE_APP,signature
android.permission.BIND_VISUAL_VOICEMAIL_SERVICE,signature
android.permission.BIND_VOICE_INTERACTION,signature
android.permission.BIND_VPN_SERVICE,signature
android.permission.BIND_VR_LISTENER_SERVICE,signature
android.permission.BIND_WALLPAPER,signature
android.permission.BLUETOOTH,normal
android.permission.BLUETOOTH_ADMIN,normal
android.permission.BLUETOOTH_ADVERTISE,dangerous
android.permission.BLUETOOTH_CONNECT,dangerous
android.permission.BLUETOOTH_SCAN,dangerous
android.permission.BODY_SENSORS,dangerous
android.permission.BODY_SENSORS_BACKGROUND,dangerous
android.permission.BROADCAST_STICKY,normal
android.permission.CALL_COMPANION_APP,normal
android.permission.CALL_PHONE,dangerous
android.permission.CAMERA,dangerous
android.permission.CAPTURE_KEYBOARD,normal
android.permission.CHANGE_CONFIGURATION,signature
android.permission.CHANGE_NETWORK_STATE,normal
android.permission.CHANGE_WIFI_MULTICAST_STATE,normal
android.permission.CHANGE_WIFI_STATE,normal
android.permission.CLEAR_APP_CACHE,signature
android.permission.CREDENTIAL_MANAGER_QUERY_CANDIDATE_CREDENTIALS,normal
android.permission.CREDENTIAL_MANAGER_SET_ALLOWED_PROVIDERS,normal
android.permission.CREDENTIAL_MANAGER_SET_ORIGIN,normal
android.permission.DELETE_CACHE_FILES,signature
android.permission.DETECT_SCREEN_CAPTURE,normal
android.permission.DETECT_SCREEN_RECORDING,normal
android.permission.DISABLE_KEYGUARD,normal
android.permission.ENFORCE_UPDATE_OWNERSHIP,normal
android.permission.EXECUTE_APP_ACTION,internal
android.permission.EXECUTE_APP_FUNCTIONS,internal
android.permission.EXPAND_STATUS_BAR,normal
android.permission.FOREGROUND_SERVICE,normal
android.permission.FOREGROUND_SERVICE_CAMERA,normal
android.permission.FOREGROUND_SERVICE_CONNECTED_DEVICE,normal
android.permission.FOREGROUND_SERVICE_DATA_SYNC,normal
android.permission.FOREGROUND_SERVICE_HEALTH,normal
android.permission.FOREGROUND_SERVICE_LOCATION,normal
android.permission.FOREGROUND_SERVICE_MEDIA_PLAYBACK,normal
android.permission.FOREGROUND_SERVICE_MEDIA_PROCESSING,normal
android.permission.FOREGROUND_SERVICE_MEDIA_PROJECTION,normal
android.permission.FOREGROUND_SERVICE_MICROPHONE,normal
android.permission.FOREGROUND_SERVICE_PHONE_CALL,normal
android.permission.FOREGROUND_SERVICE_REMOTE_MESSAGING,normal
android.permission.FOREGROUND_SERVICE_SPECIAL_USE,normal
android.permission.FOREGROUND_SERVICE_SYSTEM_EXEMPTED,normal
android.permission.GET_ACCOUNTS,dangerous
android.permission.GET_ACCOUNTS_PRIVILEGED,signature
android.permission.GET_PACKAGE_SIZE,normal
android.permission.GLOBAL_SEARCH,signature
android.permission.HIGH_SAMPLING_RATE_SENSORS,normal
android.permission.INSTANT_APP_FOREGROUND_SERVICE,signature
android.permission.INTERNET,normal
android.permission.KILL_BACKGROUND_PROCESSES,normal
android.permission.LAUNCH_CAPTURE_CONTENT_ACTIVITY_FOR_NOTE,internal
android.permission.LOADER_USAGE_STATS,signature
android.permission.MANAGE_DEVICE_LOCK_STATE,internal
android.permission.MANAGE_DEVICE_POLICY_ACCESSIBILITY,internal
android.permission.MANAGE_DEVICE_POLICY_ACCOUNT_MANAGEMENT,internal
android.permission.MANAGE_DEVICE_POLICY_ACROSS_USERS,internal
android.permission.MANAGE_DEVICE_POLICY_ACROSS_USERS_FULL,internal
android.permission.MANAGE_DEVICE_POLICY_ACROSS_USERS_SECURITY_CRITICAL,internal
android.permission.MANAGE_DEVICE_POLICY_AIRPLANE_MODE,internal
android.permission.MANAGE_DEVICE_POLICY_APPS_CONTROL,internal
android.permission.MANAGE_DEVICE_POLICY_APP_FUNCTIONS,internal
android.permission.MANAGE_DEVICE_POLICY_APP_RESTRICTIONS,internal
android.permission.MANAGE_DEVICE_POLICY_APP_USER_DATA,internal
android.permission.MANAGE_DEVICE_POLICY_ASSIST_CONTENT,internal
android.permission.MANAGE_DEVICE_POLICY_AUDIO_OUTPUT,internal
android.permission.MANAGE_DEVICE_POLICY_AUTOFILL,internal
android.permission.MANAGE_DEVICE_POLICY_BACKUP_SERVICE,internal
android.permission.MANAGE_DEVICE_POLICY_BLOCK_UNINSTALL,internal
