rank,family,global_count
1,dowgin,23294
2,airpush,16135
3,kuguo,14772
4,smsreg,14567
5,dnotua,10574
6,gappusin,7326
7,revmob,6739
8,leadbolt,6416
9,adwo,5077
10,youmi,4278
11,plankton,3264
12,inmobi,2681
13,hiddad,2520
14,domob,2493
15,shedun,2348
16,ewind,2059
17,zdtad,1973
18,frmy,1908
19,fakeinst,1883
20,fakeapp,1571
21,autoins,1532
22,baiduprotect,1507
23,wooboo,1497
24,smssend,1339
25,admogo,1307
26,utchi,1304
27,umpay,1194
28,smspay,1156
29,apptrack,1111
30,kyview,1063
31,igexin,1060
32,skymobi,911
33,anydown,908
34,wapron,852
35,ginmaster,830
36,tapcore,816
37,datacollector,758
38,viser,733
39,feiwo,716
40,triada,716
41,mobwin,716
42,droidkungfu,694
43,swizzor,657
44,mobidash,657
45,frla,644
46,fakeflash,637
47,wkload,584
48,systemmonitor,573
49,opfake,571
50,frupi,561
51,minimob,526
52,ganlet,509
53,hypay,503
54,nandrobox,483
55,scamapp,465
56,appsgeyser,447
57,gexin,430
58,dianjin,424
59,syringe,415
60,utilcode,396
61,cimsci,390
62,presenoker,386
63,pushad,379
64,remotecode,363
65,wroba,337
66,notifyer,315
67,blacklister,312
68,smsspy,291
69,basebridge,274
70,gumen,265
71,cnzz,252
72,styricka,250
73,boogr,247
74,autoinst,245
75,uapush,244
76,shixot,242
77,smforw,236
78,toofan,235
79,robtes,233
80,dianle,223
81,hamad,221
82,fakeangry,219
83,torjok,210
84,joker,210
85,marsdaemon,207
86,ramnit,202
87,fusob,197
88,piom,196
89,fictus,194
90,cauly,193
91,boqx,190
92,root,188
93,mecor,187
94,dasu,184
95,slocker,181
96,smskey,181
97,appoffer,180
98,virtualapp,180
99,adflex,179
100,rootnik,173
